システムクロック時刻,ジャイロ角速度,左PWM,右PWM,電圧,10,172,91
1157,0,42,47,6831,77,,
1161,1,48,52,6810,78,,
1165,2,48,52,6810,78,,
1169,3,48,53,6795,78,,
1173,-2,45,48,6795,79,,
1177,-6,46,49,6782,80,,
1181,-4,47,47,6782,82,,
1185,-5,44,47,6803,82,,
1189,-4,46,44,6803,85,,
1193,-1,47,45,6831,87,,
1197,0,52,50,6831,89,,
1201,5,54,53,6825,90,,
1205,9,56,55,6825,91,,
1209,10,59,54,6775,94,,
1213,7,61,56,6775,96,,
1217,1,58,50,6738,99,,
1221,-1,55,48,6738,101,,
1225,0,56,46,6745,104,,
1229,4,55,51,6745,104,,
1233,-4,60,52,6755,106,,
1237,-5,57,48,6755,108,,
1241,0,58,50,6728,109,,
1245,2,63,55,6728,110,,
1249,1,61,52,6743,111,,
1253,-8,55,50,6743,110,,
1257,-9,54,45,6703,111,,
1261,-4,61,50,6703,113,,
1265,-8,55,44,6766,114,,
1269,-13,50,37,6766,116,,
1273,-11,57,47,6757,116,,
1277,-7,56,47,6757,116,,
1281,-6,60,49,6766,117,,
1285,-12,53,41,6766,118,,
1289,3,66,54,6748,119,,
1293,5,64,54,6748,119,,
1297,1,66,52,6749,121,,
1301,3,65,52,6749,122,,
1305,4,73,60,6739,123,,
1309,1,67,55,6739,123,,
1313,-2,68,54,6717,124,,
1317,-12,57,44,6717,124,,
1321,-12,63,49,6739,125,,
1325,-10,61,46,6739,126,,
1329,-13,58,45,6789,126,,
1333,-17,51,38,6789,126,,
1337,-23,55,38,6804,128,,
1341,-17,52,38,6804,128,,
1345,-20,46,32,6851,128,,
1349,-11,56,37,6851,131,,
1353,-9,61,46,6887,131,,
1357,-1,64,47,6887,132,,
1361,8,68,51,6830,133,,
1365,14,75,58,6830,134,,
1369,15,74,58,6775,134,,
1373,7,75,61,6775,133,,
1377,5,71,57,6740,132,,
1381,4,71,59,6740,130,,
1385,0,69,58,6733,128,,
1389,-8,60,48,6733,127,,
1393,-9,61,49,6722,126,,
1397,-14,59,46,6722,126,,
1401,-23,52,39,6785,126,,
1405,-26,49,36,6785,126,,
1409,-22,47,34,6831,126,,
1413,-12,54,41,6831,126,,
1417,-8,56,46,6892,124,,
1421,-5,58,41,6892,126,,
1425,5,70,57,6847,126,,
1429,4,67,52,6847,127,,
1433,0,67,51,6782,128,,
1437,6,69,51,6782,130,,
1441,8,75,62,6769,129,,
1445,8,72,59,6769,128,,
1449,3,70,58,6739,127,,
1453,-2,61,53,6739,124,,
1457,6,70,59,6743,123,,
1461,3,71,67,6743,119,,
1465,-10,60,51,6737,118,,
1469,-8,55,50,6737,115,,
1473,-5,64,57,6758,114,,
1477,-11,60,53,6758,113,,
1481,-21,47,42,6760,111,,
1485,-9,54,52,6760,108,,
1489,0,61,59,6829,106,,
1493,-5,59,56,6829,105,,
1497,-9,54,49,6761,105,,
1501,-2,65,60,6761,105,,
1505,2,68,62,6802,105,,
1509,0,62,57,6802,105,,
1513,7,69,65,6708,104,,
1517,-2,63,62,6708,102,,
1521,-11,62,60,6697,101,,
1525,-11,54,57,6697,98,,
1529,-11,49,52,6718,95,,
1533,-17,53,51,6718,95,,
1537,-20,46,51,6793,92,,
1541,-8,55,58,6793,90,,
1545,-24,38,42,6814,88,,
1549,-26,42,45,6814,87,,
1553,-8,47,53,6851,85,,
1557,-7,53,59,6851,83,,
1561,-10,46,53,6841,81,,
1565,-5,55,62,6841,79,,
1569,3,56,63,6828,78,,
1573,-6,55,63,6828,76,,
1577,-12,48,53,6767,76,,
1581,13,66,71,6767,76,,
1585,5,60,68,6807,75,,
1589,-9,53,57,6807,76,,
1593,3,60,69,6736,74,,
1597,-1,59,65,6736,74,,
1601,-6,50,58,6746,73,,
1605,-11,51,61,6746,71,,
1609,-15,43,52,6785,70,,
1613,-13,50,58,6785,70,,
1617,-21,42,52,6839,69,,
1621,-15,41,50,6839,69,,
1625,-13,47,57,6856,68,,
1629,-9,47,61,6856,65,,
1633,-13,46,56,6844,65,,
1637,-15,43,55,6844,64,,
1641,-7,43,57,6829,62,,
1645,-4,46,59,6829,61,,
1649,-11,41,56,6849,59,,
1653,-9,44,56,6849,59,,
1657,-1,55,67,6852,59,,
1661,-3,46,62,6852,57,,
1665,-17,38,53,6791,56,,
1669,-18,32,47,6791,55,,
1673,-16,37,55,6849,53,,
1677,-20,33,43,6849,55,,
1681,-20,31,45,6880,55,,
1685,-17,33,47,6880,55,,
1689,-16,34,47,6918,55,,
1693,-10,37,53,6918,54,,
1697,-21,27,39,6914,55,,
1701,-13,31,47,6914,54,,
1705,5,42,54,6933,55,,
1709,2,42,55,6933,55,,
1713,7,44,55,6915,56,,
1717,4,43,58,6915,55,,
1721,12,49,59,6884,57,,
1725,15,52,67,6884,56,,
1729,5,44,57,6842,56,,
1733,0,49,60,6842,57,,
1737,0,44,58,6830,56,,
1741,-8,41,54,6830,56,,
1745,-8,37,50,6829,56,,
1749,-9,39,50,6829,57,,
1753,-9,34,47,6873,57,,
1757,-2,44,51,6873,60,,
1761,-3,38,50,6889,60,,
1765,-6,40,48,6889,62,,
1769,3,39,48,6878,63,,
1773,5,38,49,6878,63,,
1777,10,48,54,6893,65,,
1781,3,47,53,6893,67,,
1785,-2,40,49,6855,67,,
1789,3,43,50,6855,68,,
1793,5,47,55,6864,68,,
1797,3,44,52,6864,68,,
1801,-5,41,50,6831,68,,
1805,-2,41,49,6831,68,,
1809,4,43,52,6857,68,,
1813,-1,46,49,6857,71,,
1817,-4,41,45,6855,73,,
1821,4,50,53,6855,75,,
1825,2,48,48,6876,78,,
1829,-2,42,45,6876,79,,
1833,2,50,50,6833,81,,
1837,0,48,46,6833,84,,
1841,-3,47,48,6836,85,,
1845,1,50,46,6836,88,,
1849,0,48,43,6839,91,,
1853,-3,48,46,6839,92,,
1857,1,50,45,6839,94,,
1861,3,49,46,6839,95,,
1865,0,52,46,6832,97,,
1869,-3,49,41,6832,100,,
1873,-2,46,42,6827,100,,
1877,-11,46,35,6827,104,,
1881,-1,49,42,6842,105,,
1885,1,47,44,6842,104,,
1889,-2,52,41,6857,107,,
1893,-7,43,39,6857,106,,
1897,2,48,44,6829,105,,
1901,4,48,45,6829,104,,
1905,0,44,42,6852,103,,
1909,-4,46,42,6852,103,,
1913,-8,41,38,6849,102,,
1917,-4,43,39,6849,102,,
1921,-7,40,34,6875,103,,
1925,-8,43,37,6875,104,,
1929,-10,40,33,6887,105,,
1933,-5,42,35,6887,106,,
1937,-2,42,37,6894,106,,
1941,-10,38,29,6894,108,,
1945,-10,37,28,6888,109,,
1949,-5,39,31,6888,110,,
1953,2,46,33,6914,113,,
1957,-1,42,32,6914,114,,
1961,-1,45,30,6899,117,,
1965,1,44,34,6899,117,,
1969,8,50,38,6905,118,,
1973,4,51,41,6905,118,,
1977,1,49,37,6871,119,,
1981,0,47,37,6871,119,,
1985,-4,44,33,6855,119,,
1989,-1,39,32,6855,117,,
1993,-4,40,28,6879,118,,
1997,-6,38,28,6879,118,,
2001,1,42,32,6915,118,,
2005,2,44,33,6915,118,,
2009,-3,36,26,6903,118,,
2013,-4,37,25,6903,119,,
2017,-5,37,25,6914,120,,
2021,0,42,28,6914,122,,
2025,4,39,29,6919,121,,
2029,5,42,31,6919,121,,
2033,1,37,24,6911,122,,
2037,8,42,33,6911,121,,
2041,13,50,35,6914,123,,
2045,18,50,38,6914,123,,
2049,3,42,30,6876,123,,
2053,-2,35,25,6876,122,,
2057,6,45,29,6886,124,,
2061,5,43,34,6886,122,,
2065,7,44,30,6887,123,,
2069,-4,37,25,6887,123,,
2073,-3,34,24,6871,122,,
2077,12,47,35,6871,122,,
2081,9,43,30,6916,123,,
2085,5,43,31,6916,123,,
2089,5,40,28,6879,123,,
2093,15,51,37,6879,124,,
2097,20,52,40,6887,124,,
2101,7,41,30,6887,123,,
2105,10,47,35,6827,123,,
