システムクロック時刻,ジャイロ角速度,左PWM,右PWM,電圧,10,172,91
6793,-2,66,37,6714,167,,
6797,-1,66,35,6714,168,,
6801,11,72,43,6722,168,,
6805,10,71,42,6722,168,,
6809,3,64,39,6706,166,,
6813,12,70,44,6706,165,,
6817,12,75,49,6721,164,,
6821,1,66,41,6721,163,,
6825,5,68,43,6676,162,,
6829,12,77,52,6676,161,,
6833,-4,63,40,6707,159,,
6837,-9,58,34,6707,158,,
6841,0,68,43,6715,158,,
6845,2,67,43,6715,157,,
6849,-9,56,35,6721,155,,
6853,2,63,41,6721,154,,
6857,14,73,55,6752,151,,
6861,6,62,44,6752,149,,
6865,8,69,51,6673,147,,
6869,12,71,53,6673,145,,
6873,16,78,61,6671,143,,
6877,9,71,56,6671,141,,
6881,1,64,51,6616,138,,
6885,5,69,57,6616,135,,
6889,-3,59,52,6651,130,,
6893,-11,56,49,6651,126,,
6897,-9,53,49,6650,121,,
6901,0,61,59,6650,116,,
6905,-18,41,38,6693,113,,
6909,-24,41,43,6693,108,,
6913,-4,45,50,6734,102,,
6917,-8,47,50,6734,98,,
6921,-8,48,53,6736,94,,
6925,6,58,68,6736,88,,
6929,9,59,68,6722,84,,
6933,-2,49,59,6722,80,,
6937,-4,50,62,6600,76,,
6941,4,52,67,6600,71,,
6945,3,48,65,6651,66,,
6949,1,55,72,6651,62,,
6953,-13,41,60,6632,58,,
6957,-12,38,58,6632,54,,
6961,-10,41,61,6686,51,,
6965,-21,28,51,6686,47,,
6969,-23,28,51,6718,44,,
6973,-15,33,59,6718,40,,
6977,-15,29,56,6769,36,,
6981,-14,31,58,6769,33,,
6985,-11,30,57,6754,30,,
6989,2,37,64,6754,28,,
6993,1,41,66,6750,27,,
6997,-7,36,64,6750,25,,
7001,2,44,73,6709,23,,
7005,6,45,73,6709,22,,
7009,7,44,72,6713,21,,
7013,3,43,73,6713,19,,
7017,-3,38,65,6699,19,,
7021,-3,39,69,6699,17,,
7025,-5,36,64,6713,17,,
7029,-15,29,61,6713,15,,
7033,-19,24,53,6732,15,,
7037,-21,23,53,6732,14,,
7041,-21,20,49,6781,14,,
7045,-20,21,52,6781,13,,
7049,-21,13,42,6807,13,,
7053,-4,27,58,6807,12,,
7057,1,28,60,6852,11,,
7061,-1,30,62,6852,10,,
7065,9,37,67,6787,10,,
7069,19,48,78,6787,10,,
7073,13,40,68,6743,11,,
7077,7,39,69,6743,11,,
7081,7,33,65,6736,10,,
7085,12,42,72,6736,10,,
7089,3,35,64,6760,11,,
7093,-1,34,66,6760,10,,
7097,-1,29,59,6744,10,,
7101,-5,30,60,6744,10,,
7105,-8,21,52,6761,10,,
7109,-10,23,55,6761,9,,
7113,-6,24,55,6798,9,,
7117,-5,23,56,6798,8,,
7121,-3,25,55,6799,9,,
7125,3,28,59,6799,9,,
7129,5,29,61,6788,8,,
7133,8,33,62,6788,9,,
7137,11,35,65,6759,9,,
7141,16,39,70,6759,9,,
7145,17,45,76,6732,9,,
7149,9,35,66,6732,9,,
7153,7,39,69,6693,9,,
7157,14,38,69,6693,9,,
7161,9,41,70,6724,10,,
7165,1,28,61,6724,9,,
7169,1,34,65,6694,9,,
7173,2,30,59,6694,10,,
7177,-5,29,60,6734,10,,
7181,0,28,56,6734,11,,
7185,2,28,60,6750,10,,
7189,-2,31,61,6750,10,,
7193,8,38,66,6768,11,,
7197,12,40,70,6768,11,,
7201,9,34,64,6722,11,,
7205,15,45,73,6722,12,,
7209,24,46,77,6718,11,,
7213,16,48,76,6718,12,,
7217,7,41,71,6675,12,,
7221,7,41,71,6675,12,,
7225,6,41,69,6686,13,,
7229,1,41,70,6686,13,,
7233,4,37,66,6684,13,,
7237,-1,39,67,6684,14,,
7241,-4,30,59,6695,14,,
7245,-4,37,62,6695,16,,
7249,-7,27,55,6731,16,,
7253,-6,31,61,6731,15,,
7257,5,45,70,6745,17,,
7261,2,36,63,6745,17,,
7265,1,41,67,6684,18,,
7269,2,41,66,6684,19,,
7273,5,42,67,6692,20,,
7277,4,40,67,6692,20,,
7281,6,49,70,6676,23,,
7285,0,37,62,6676,23,,
7289,-4,40,62,6662,25,,
7293,-2,41,61,6662,27,,
7297,-2,40,60,6705,29,,
7301,-10,38,57,6705,31,,
7305,-9,40,53,6712,36,,
7309,-8,37,54,6712,38,,
7313,-10,37,47,6733,43,,
7317,-10,38,53,6733,45,,
7321,-3,44,53,6757,49,,
7325,-1,44,54,6757,52,,
7329,-2,48,55,6732,56,,
7333,-5,40,47,6732,59,,
7337,-4,46,51,6704,63,,
7341,-11,42,41,6704,69,,
7345,-4,49,51,6724,72,,
7349,0,50,43,6724,79,,
7353,-6,48,45,6714,83,,
7357,-12,42,39,6714,86,,
7361,-12,45,41,6730,89,,
7365,-7,49,40,6730,94,,
7369,-8,47,37,6750,99,,
7373,-10,46,33,6750,104,,
7377,-3,52,34,6742,111,,
7381,-16,45,30,6742,115,,
7385,-18,44,23,6748,121,,
7389,-9,46,31,6748,123,,
7393,-5,54,34,6779,127,,
7397,-12,49,26,6779,132,,
7401,-11,45,28,6751,133,,
7405,4,58,34,6751,137,,
7409,3,57,32,6779,141,,
7413,-7,50,25,6779,144,,
7417,-5,51,25,6730,147,,
7421,0,58,34,6730,149,,
7425,3,60,34,6757,151,,
7429,-5,47,25,6757,151,,
7433,-1,51,27,6703,152,,
7437,4,55,30,6703,153,,
7441,0,52,27,6756,154,,
7445,-4,50,24,6756,155,,
7449,0,53,27,6751,156,,
7453,-2,56,30,6751,157,,
7457,-2,55,29,6745,158,,
7461,-1,51,24,6745,159,,
7465,2,53,27,6738,159,,
7469,6,61,35,6738,159,,
7473,4,55,28,6751,160,,
7477,4,55,29,6751,160,,
7481,11,61,35,6715,160,,
7485,4,52,26,6715,160,,
7489,-3,54,26,6708,161,,
7493,1,51,25,6708,161,,
7497,4,54,28,6723,161,,
7501,2,53,27,6723,161,,
7505,-5,50,22,6741,162,,
7509,7,53,26,6741,162,,
7513,10,58,29,6750,163,,
7517,3,55,26,6750,164,,
7521,0,48,21,6713,164,,
7525,15,65,38,6713,164,,
7529,15,61,34,6750,164,,
7533,4,50,24,6750,163,,
7537,7,61,32,6698,164,,
7541,16,64,34,6698,165,,
7545,11,61,33,6713,165,,
7549,2,57,27,6713,166,,
7553,2,53,24,6698,166,,
7557,10,60,32,6698,166,,
7561,3,51,23,6747,166,,
7565,0,57,27,6747,167,,
7569,3,55,24,6751,168,,
7573,11,63,31,6751,170,,
7577,1,52,22,6732,170,,
7581,-2,51,22,6732,170,,
7585,17,66,36,6738,170,,
7589,14,61,32,6738,170,,
7593,4,57,27,6704,170,,
7597,12,62,28,6704,172,,
7601,19,72,42,6724,172,,
7605,13,66,34,6724,173,,
7609,4,56,26,6679,173,,
7613,9,64,29,6679,175,,
7617,11,66,33,6743,176,,
7621,4,62,30,6743,176,,
7625,-2,55,22,6710,177,,
7629,4,60,28,6710,177,,
7633,13,63,31,6751,177,,
7637,4,59,28,6751,176,,
7641,-4,54,24,6717,175,,
7645,10,65,36,6717,174,,
7649,6,61,28,6743,175,,
7653,-1,56,26,6743,174,,
7657,9,61,28,6720,175,,
7661,11,69,38,6720,175,,
7665,6,61,32,6731,174,,
7669,-1,60,26,6731,175,,
7673,6,60,29,6714,175,,
7677,8,64,32,6714,175,,
7681,2,61,30,6732,175,,
7685,3,63,31,6732,175,,
7689,5,61,29,6713,175,,
7693,5,66,37,6713,174,,
7697,0,59,28,6707,174,,
7701,-2,59,28,6707,174,,
7705,5,59,30,6704,173,,
7709,4,61,31,6704,173,,
7713,-6,55,25,6722,173,,
7717,-10,52,23,6722,172,,
7721,-1,55,24,6733,172,,
7725,-3,54,25,6733,171,,
7729,-9,56,26,6746,171,,
7733,5,61,31,6746,171,,
7737,7,60,28,6749,172,,
7741,2,58,28,6749,172,,
7745,9,71,38,6704,173,,
7749,15,69,40,6704,172,,
7753,11,65,34,6689,172,,
7757,11,67,37,6689,172,,
7761,10,72,43,6694,171,,
7765,3,63,33,6694,171,,
7769,3,66,34,6661,172,,
7773,1,59,30,6661,171,,
7777,4,68,38,6685,171,,
7781,-8,55,25,6685,171,,
7785,-13,51,21,6674,171,,
7789,-9,55,23,6674,172,,
7793,-11,53,22,6759,172,,
7797,-9,49,19,6759,172,,
7801,-7,55,27,6759,171,,
7805,7,63,30,6759,173,,
7809,6,63,32,6767,173,,
7813,-4,57,26,6767,173,,
7817,8,67,35,6710,174,,
7821,14,69,36,6710,175,,
7825,9,71,40,6702,175,,
7829,9,68,35,6702,176,,
7833,10,69,39,6667,175,,
7837,2,71,37,6667,176,,
7841,-8,57,27,6671,175,,
7845,4,63,29,6671,176,,
7849,1,66,33,6732,177,,
7853,-7,59,29,6732,176,,
7857,-3,60,24,6705,178,,
7861,-4,63,30,6705,178,,
7865,-8,56,21,6741,179,,
7869,-3,58,27,6741,178,,
7873,5,64,33,6751,177,,
7877,6,66,35,6751,176,,
7881,3,65,35,6707,175,,
7885,-1,61,33,6707,173,,
7889,10,70,41,6675,172,,
7893,9,70,42,6675,171,,
7897,0,63,37,6675,169,,
7901,-7,58,31,6675,168,,
7905,5,64,42,6686,164,,
7909,-6,50,31,6686,160,,
7913,-13,50,32,6685,156,,
7917,-11,49,33,6685,152,,
7921,-4,51,38,6757,147,,
7925,-4,52,37,6757,144,,
7929,-15,43,30,6739,140,,
7933,-8,43,29,6739,138,,
7937,-8,47,35,6778,135,,
7941,-2,44,36,6778,131,,
7945,2,52,45,6773,127,,
7949,2,45,43,6773,121,,
7953,-2,48,46,6723,116,,
7957,-3,39,43,6723,109,,
7961,5,49,55,6726,102,,
7965,3,48,53,6726,97,,
7969,-1,41,45,6697,94,,
7973,-2,40,46,6697,90,,
7977,0,41,49,6714,86,,
7981,-4,36,48,6714,81,,
7985,-8,32,46,6713,76,,
7989,-8,34,53,6713,69,,
7993,-4,31,50,6741,63,,
7997,-8,28,48,6741,58,,
8001,-11,24,47,6721,53,,
8005,-8,26,48,6721,49,,
8009,-4,28,52,6747,45,,
8013,-8,25,49,6747,42,,
8017,-12,23,45,6724,40,,
8021,7,35,60,6724,37,,
8025,8,35,63,6754,33,,
8029,2,31,59,6754,30,,
8033,1,34,57,6657,30,,
8037,7,36,63,6657,28,,
8041,14,37,64,6675,26,,
8045,3,30,59,6675,24,,
8049,-12,21,48,6641,23,,
8053,0,29,57,6641,22,,
8057,0,28,58,6715,20,,
8061,-2,28,55,6715,20,,
8065,-15,18,47,6688,19,,
8069,3,30,59,6688,18,,
8073,9,35,64,6733,17,,
8077,4,33,60,6733,17,,
8081,4,32,62,6683,16,,
8085,15,41,71,6683,15,,
8089,6,30,61,6667,14,,
8093,-4,31,58,6667,15,,
8097,-1,26,56,6699,14,,
8101,0,27,58,6699,13,,
8105,-8,22,51,6723,13,,
8109,-8,21,52,6723,12,,
8113,-1,22,52,6742,12,,
8117,-1,29,56,6742,13,,
8121,-10,16,47,6768,12,,
8125,6,28,58,6768,12,,
8129,10,34,61,6769,13,,
8133,6,26,57,6769,12,,
8137,9,32,59,6709,13,,
8141,13,36,65,6709,13,,
8145,12,32,61,6713,13,,
8149,16,42,71,6713,13,,
8153,14,37,66,6676,13,,
8157,12,33,62,6676,13,,
8161,5,36,63,6667,14,,
8165,2,33,62,6667,14,,
8169,-1,31,60,6678,14,,
8173,-1,28,55,6678,15,,
8177,3,32,58,6695,16,,
8181,-6,22,48,6695,17,,
8185,-10,23,51,6712,17,,
8189,-10,18,46,6712,17,,
8193,3,29,55,6749,18,,
8197,7,33,60,6749,18,,
8201,5,34,58,6741,20,,
8205,17,39,64,6741,21,,
8209,23,42,66,6695,22,,
8213,14,43,67,6695,23,,
8217,13,46,67,6639,25,,
8221,20,47,70,6639,26,,
8225,14,50,72,6627,27,,
8229,3,39,59,6627,29,,
8233,0,38,58,6590,31,,
8237,0,39,58,6590,33,,
8241,-11,31,49,6683,35,,
8245,-14,26,39,6683,39,,
8249,-5,38,50,6722,43,,
8253,-5,34,44,6722,47,,
8257,-4,37,44,6727,52,,
8261,2,44,47,6727,58,,
8265,10,56,57,6739,64,,
8269,12,54,53,6739,70,,
8273,11,57,53,6645,76,,
8277,16,62,58,6645,81,,
8281,16,66,57,6624,88,,
8285,9,66,58,6624,93,,
8289,5,61,49,6543,99,,
8293,2,60,46,6543,105,,
8297,-5,58,38,6544,113,,
8301,-11,52,34,6544,118,,
8305,-12,56,36,6578,123,,
8309,-15,55,29,6578,130,,
8313,-19,48,26,6603,134,,
8317,-21,47,21,6603,139,,
8321,-9,58,33,6661,143,,
8325,-8,59,30,6661,148,,
8329,0,64,35,6637,152,,
8333,-2,63,32,6637,156,,
8337,-6,60,28,6645,160,,
8341,-3,66,34,6645,163,,
8345,-3,64,33,6658,165,,
8349,-6,61,30,6658,167,,
8353,-3,61,32,6665,167,,
8357,-3,67,34,6665,169,,
8361,-5,62,33,6674,169,,
8365,-13,56,25,6674,170,,
8369,-10,60,31,6685,170,,
8373,-10,53,24,6685,170,,
8377,-15,49,19,6712,170,,
8381,-17,47,15,6712,171,,
8385,-11,55,23,6755,172,,
8389,-10,53,23,6755,172,,
8393,-2,54,22,6756,173,,
8397,1,61,30,6756,173,,
8401,-2,58,27,6748,173,,
8405,-10,52,21,6748,173,,
8409,3,60,30,6721,173,,
8413,5,63,30,6721,174,,
8417,8,65,32,6713,175,,
8421,6,64,32,6713,175,,
8425,4,63,30,6705,176,,
8429,7,65,33,6705,176,,
8433,9,62,30,6712,176,,
8437,9,67,37,6712,175,,
8441,0,61,30,6706,175,,
8445,-6,52,20,6706,175,,
8449,-5,53,21,6717,175,,
8453,-7,55,26,6717,174,,
8457,-8,49,18,6770,174,,
8461,-5,47,16,6770,174,,
8465,-5,52,21,6778,174,,
8469,6,56,25,6778,174,,
8473,0,53,22,6780,174,,
8477,8,60,27,6780,175,,
8481,15,61,30,6771,175,,
8485,20,67,37,6771,174,,
8489,19,75,42,6725,175,,
8493,9,65,30,6725,177,,
8497,17,68,33,6675,178,,
8501,19,71,38,6675,178,,
8505,13,64,31,6714,178,,
8509,11,69,37,6714,178,,
8513,8,63,31,6709,178,,
8517,7,65,31,6709,179,,
8521,-4,58,25,6702,179,,
8525,1,62,27,6702,180,,
8529,2,59,24,6732,181,,
8533,0,58,24,6732,181,,
8537,8,61,26,6725,182,,
8541,16,73,39,6725,182,,
8545,14,70,33,6721,183,,
8549,17,74,38,6721,184,,
8553,20,72,39,6693,183,,
8557,29,82,48,6693,183,,
8561,23,80,48,6665,182,,
8565,9,74,38,6665,183,,
8569,8,74,39,6620,183,,
8573,13,78,44,6620,183,,
8577,2,67,30,6657,184,,
8581,-8,59,26,6657,183,,
8585,-6,68,28,6697,186,,
8589,-5,61,26,6697,186,,
8593,-7,61,23,6715,187,,
8597,3,68,32,6715,187,,
8601,18,80,42,6750,188,,
8605,19,77,40,6750,188,,
8609,20,84,50,6665,187,,
8613,25,90,54,6665,187,,
8617,21,84,48,6633,187,,
8621,17,82,48,6633,186,,
8625,15,82,49,6617,185,,
8629,7,83,48,6617,185,,
8633,2,72,41,6607,183,,
8637,-8,71,37,6607,183,,
8641,-8,66,30,6628,184,,
8645,-7,70,36,6628,184,,
8649,-5,65,31,6693,184,,
8653,-7,71,32,6693,186,,
8657,-4,71,34,6700,187,,
8661,-1,73,35,6700,188,,
8665,-4,70,34,6665,188,,
8669,5,77,39,6665,189,,
8673,11,85,49,6672,189,,
8677,13,87,50,6672,189,,
8681,18,95,59,6630,189,,
8685,18,95,58,6630,189,,
8689,11,88,55,6585,187,,
8693,6,80,46,6585,186,,
8697,4,82,50,6574,184,,
8701,1,83,52,6574,182,,
8705,-14,70,38,6617,181,,
8709,-17,72,36,6617,182,,
8713,-16,67,36,6648,180,,
8717,-17,70,35,6648,181,,
8721,-20,58,26,6692,180,,
8725,-12,67,34,6692,180,,
8729,-4,71,38,6726,180,,
8733,2,81,43,6726,182,,
8737,9,83,49,6669,182,,
8741,13,91,55,6669,183,,
8745,19,94,60,6632,183,,
8749,13,88,56,6632,182,,
8753,9,91,57,6575,182,,
8757,2,84,50,6575,182,,
8761,-6,81,47,6581,182,,
8765,-8,76,44,6581,181,,
8769,-14,73,41,6619,180,,
8773,-15,70,36,6619,180,,
8777,-29,61,28,6648,180,,
8781,-29,55,25,6648,178,,
8785,-25,61,26,6712,179,,
8789,-12,66,33,6712,179,,
8793,-7,72,37,6749,180,,
8797,8,80,47,6749,180,,
8801,19,93,58,6693,181,,
8805,13,89,52,6693,183,,
8809,16,94,61,6614,182,,
8813,17,94,60,6614,182,,
8817,12,94,60,6576,182,,
8821,3,89,57,6576,181,,
8825,0,90,56,6565,181,,
8829,-2,84,52,6565,180,,
8833,-20,72,40,6581,179,,
8837,-25,63,32,6581,178,,
8841,-12,73,41,6666,178,,
8845,-12,69,38,6666,177,,
8849,-14,75,41,6692,178,,
8853,-7,75,43,6692,178,,
8857,-7,77,45,6671,178,,
8861,3,80,49,6671,177,,
8865,3,84,52,6648,177,,
8869,6,84,50,6648,178,,
8873,13,93,58,6635,179,,
8877,3,84,49,6635,180,,
8881,-2,82,49,6589,180,,
8885,5,90,55,6589,181,,
8889,2,87,56,6656,180,,
8893,-12,73,43,6656,178,,
8897,-12,76,43,6601,178,,
8901,-7,74,45,6601,176,,
8905,-14,75,45,6675,175,,
8909,-17,70,36,6675,176,,
8913,1,81,53,6657,174,,
8917,1,80,48,6657,174,,
8921,-8,75,44,6657,174,,
8925,4,86,53,6657,175,,
8929,3,85,56,6665,174,,
8933,6,90,59,6665,174,,
8937,8,89,56,6629,175,,
8941,5,92,63,6629,174,,
8945,4,88,58,6619,173,,
8949,-1,86,55,6619,173,,
8953,-11,73,46,6604,171,,
8957,-7,83,53,6604,171,,
8961,-8,81,53,6672,170,,
8965,-10,75,46,6672,170,,
8969,-16,78,46,6635,171,,
8973,-14,73,43,6635,171,,
8977,-14,72,44,6664,170,,
8981,-16,68,36,6664,171,,
8985,-10,76,48,6682,170,,
8989,-10,77,46,6682,171,,
8993,-11,69,43,6682,169,,
8997,-5,83,50,6682,171,,
9001,-5,75,47,6703,170,,
9005,3,83,53,6703,170,,
9009,1,78,49,6694,170,,
9013,-1,82,55,6694,169,,
9017,-4,82,53,6666,169,,
9021,-6,75,47,6666,168,,
9025,0,86,57,6656,168,,
9029,-5,81,54,6656,167,,
9033,-11,73,44,6655,167,,
9037,-11,73,45,6655,167,,
9041,-4,76,52,6691,165,,
9045,-13,73,43,6691,166,,
9049,-9,75,47,6673,166,,
9053,-1,80,54,6673,165,,
9057,-1,81,53,6689,165,,
9061,-6,73,46,6689,165,,
9065,-9,79,47,6673,167,,
9069,-1,84,53,6673,168,,
9073,-3,77,48,6684,168,,
9077,-6,81,50,6684,169,,
9081,-6,80,51,6693,169,,
9085,-5,77,46,6693,170,,
9089,-16,73,45,6665,169,,
9093,-20,66,34,6665,170,,
9097,-13,69,40,6696,170,,
9101,-8,73,43,6696,170,,
9105,-9,72,43,6731,170,,
9109,-3,78,46,6731,171,,
9113,-9,68,40,6713,170,,
9117,-13,71,42,6713,170,,
9121,3,83,51,6735,171,,
9125,7,79,53,6735,169,,
9129,-4,79,50,6711,169,,
9133,-5,78,50,6711,168,,
9137,-1,78,47,6687,169,,
9141,-13,67,42,6687,167,,
9145,-16,66,38,6693,167,,
9149,-12,69,40,6693,167,,
9153,-19,62,36,6746,166,,
9157,-16,65,37,6746,166,,
9161,-11,64,34,6754,167,,
9165,-6,72,45,6754,166,,
9169,-6,71,45,6759,165,,
9173,4,72,50,6759,162,,
9177,4,77,49,6703,163,,
9181,-1,69,44,6703,162,,
9185,1,72,47,6700,161,,
9189,6,80,58,6700,159,,
9193,1,73,50,6708,158,,
9197,-3,71,48,6708,157,,
9201,-16,58,35,6694,156,,
9205,-14,65,41,6694,156,,
9209,-20,61,34,6767,157,,
9213,-23,52,28,6767,157,,
9217,-19,57,28,6769,159,,
9221,-15,55,27,6769,160,,
9225,-18,54,26,6805,161,,
9229,-17,51,22,6805,162,,
9233,-2,63,34,6809,163,,
9237,4,68,41,6809,163,,
9241,10,71,42,6794,164,,
9245,12,74,49,6794,163,,
9249,10,72,45,6735,163,,
9253,9,74,47,6735,163,,
9257,-1,66,37,6703,164,,
9261,4,71,44,6703,164,,
9265,8,76,48,6733,164,,
9269,-2,64,40,6733,162,,
9273,-7,64,37,6702,162,,
9277,-6,65,40,6702,161,,
9281,-14,56,30,6747,161,,
9285,-5,64,37,6747,161,,
9289,-2,60,38,6772,159,,
9293,-3,65,37,6772,160,,
9297,1,63,39,6758,159,,
9301,8,71,46,6758,159,,
9305,9,67,39,6737,160,,
9309,8,69,43,6737,160,,
9313,15,74,46,6713,161,,
9317,15,78,50,6713,162,,
9321,8,75,50,6674,161,,
9325,1,69,41,6674,162,,
9329,0,65,40,6660,161,,
9333,1,65,37,6660,162,,
9337,-3,64,38,6720,162,,
9341,-17,51,26,6720,161,,
9345,-10,58,32,6731,161,,
9349,-8,63,34,6731,162,,
9353,-10,56,31,6762,161,,
9357,-6,52,26,6762,161,,
9361,5,64,38,6763,161,,
9365,4,68,40,6763,162,,
9369,4,67,38,6735,163,,
9373,10,69,42,6735,163,,
9377,15,74,43,6701,165,,
9381,16,79,49,6701,166,,
9385,13,75,47,6696,166,,
9389,4,72,44,6696,166,,
9393,-2,61,33,6665,166,,
9397,-9,61,31,6665,167,,
9401,-5,59,33,6733,166,,
9405,-7,61,34,6733,165,,
9409,-19,44,19,6756,164,,
9413,0,63,33,6756,165,,
9417,-3,57,31,6796,164,,
9421,-12,56,27,6796,165,,
9425,8,67,40,6760,165,,
9429,26,81,51,6760,166,,
9433,18,75,47,6722,166,,
9437,16,74,46,6722,166,,
9441,20,78,50,6665,166,,
9445,19,81,55,6665,165,,
9449,7,73,45,6655,165,,
9453,-3,63,39,6655,163,,
9457,-7,59,34,6648,162,,
9461,-11,60,33,6648,162,,
9465,-13,54,29,6736,161,,
9469,-18,49,23,6736,161,,
9473,-19,46,20,6759,161,,
9477,-2,61,35,6759,161,,
9481,-5,57,31,6801,161,,
9485,5,59,32,6801,161,,
9489,10,69,40,6757,162,,
9493,14,71,44,6757,162,,
9497,13,72,43,6699,163,,
9501,18,75,48,6699,163,,
9505,11,71,44,6662,163,,
9509,3,69,43,6662,162,,
9513,-2,64,38,6649,162,,
9517,-2,63,36,6649,162,,
9521,-5,55,28,6675,162,,
9525,-8,56,31,6675,161,,
9529,-12,52,26,6722,161,,
9533,-10,57,31,6722,161,,
9537,-12,49,23,6742,161,,
9541,-16,49,24,6742,160,,
9545,1,61,33,6768,161,,
9549,6,63,37,6768,161,,
9553,8,65,38,6732,161,,
9557,3,60,36,6732,160,,
9561,9,67,39,6682,161,,
9565,12,72,48,6682,160,,
9569,5,64,36,6682,161,,
9573,5,62,38,6682,160,,
9577,4,66,42,6687,159,,
9581,3,65,40,6687,159,,
9585,-2,61,35,6678,159,,
9589,-5,59,31,6678,160,,
9593,-3,57,34,6689,159,,
9597,-14,53,30,6689,158,,
9601,-16,50,25,6717,158,,
9605,-7,50,25,6717,158,,
9609,-9,53,28,6749,158,,
9613,-10,46,21,6749,158,,
9617,-1,58,31,6750,159,,
9621,2,58,34,6750,158,,
9625,5,62,35,6748,159,,
9629,6,61,37,6748,158,,
9633,6,61,38,6703,157,,
9637,9,66,38,6703,159,,
9641,7,67,44,6688,158,,
9645,8,64,38,6688,158,,
9649,6,68,41,6660,159,,
9653,0,58,32,6660,159,,
9657,-4,59,35,6657,158,,
9661,-5,58,33,6657,158,,
9665,-7,55,30,6708,158,,
9669,-8,53,28,6708,158,,
9673,-11,49,26,6727,157,,
9677,-9,50,25,6727,157,,
9681,-10,54,27,6749,158,,
9685,-13,45,20,6749,158,,
9689,-11,50,25,6753,158,,
9693,-5,48,24,6753,157,,
9697,-2,57,28,6780,159,,
9701,0,52,26,6780,159,,
9705,11,66,38,6756,160,,
9709,4,56,30,6756,160,,
9713,-2,57,31,6702,160,,
9717,11,66,40,6702,160,,
9721,23,75,49,6728,160,,
9725,2,55,31,6728,159,,
9729,-1,58,35,6648,158,,
9733,-3,51,28,6648,157,,
9737,-4,50,27,6731,156,,
9741,-10,46,23,6731,155,,
9745,-13,43,21,6773,154,,
9749,-9,50,27,6773,154,,
9753,-16,38,17,6803,153,,
9757,-16,40,14,6803,154,,
9761,-2,48,25,6824,154,,
9765,6,51,25,6824,155,,
9769,3,54,30,6806,155,,
9773,7,53,29,6806,155,,
9777,19,63,39,6768,155,,
9781,13,56,32,6768,155,,
9785,13,58,36,6721,154,,
9789,10,58,35,6721,154,,
9793,14,61,41,6724,152,,
9797,8,60,36,6724,153,,
9801,3,51,30,6686,152,,
9805,-9,45,22,6686,152,,
9809,-6,45,26,6723,150,,
9813,-11,37,18,6723,148,,
9817,-6,45,28,6768,146,,
9821,-11,37,19,6768,145,,
9825,1,45,29,6786,143,,
9829,4,44,28,6786,141,,
9833,-5,41,22,6782,141,,
9837,1,45,28,6782,140,,
9841,13,49,35,6787,138,,
9845,18,56,40,6787,137,,
9849,13,50,36,6749,135,,
9853,8,47,37,6749,132,,
9857,15,55,43,6730,130,,
9861,11,46,41,6730,125,,
9865,-1,35,31,6696,120,,
9869,5,41,38,6696,116,,
9873,-1,32,32,6766,111,,
9877,5,44,42,6766,108,,
9881,1,36,38,6759,104,,
9885,-8,32,33,6759,101,,
9889,2,35,37,6742,98,,
9893,8,35,40,6742,94,,
9897,4,34,41,6765,90,,
9901,8,36,48,6765,84,,
9905,9,37,53,6747,77,,
9909,15,39,54,6747,72,,
9913,12,38,57,6693,66,,
9917,12,36,55,6693,61,,
9921,11,33,52,6660,57,,
9925,11,37,55,6660,54,,
9929,2,27,47,6669,51,,
9933,-3,25,46,6669,48,,
9937,0,28,52,6674,44,,
9941,0,29,53,6674,41,,
9945,-2,26,55,6685,36,,
9949,-8,20,45,6685,34,,
9953,-6,16,45,6672,30,,
9957,6,27,55,6672,27,,
9961,5,27,57,6731,24,,
9965,9,34,59,6731,24,,
9969,13,33,62,6669,22,,
9973,16,37,67,6669,20,,
9977,12,38,66,6609,19,,
9981,11,35,62,6609,19,,
9985,3,30,61,6581,17,,
9989,3,32,61,6581,16,,
9993,2,27,57,6627,15,,
9997,-3,25,55,6627,14,,
10001,-8,16,49,6637,12,,
10005,-8,25,52,6637,13,,
10009,-2,24,53,6675,13,,
10013,-8,20,51,6675,12,,
10017,-16,12,39,6670,13,,
10021,1,24,53,6670,13,,
10025,-1,23,54,6726,12,,
10029,-9,15,44,6726,12,,
10033,5,26,56,6690,12,,
10037,9,31,61,6690,12,,
10041,3,23,55,6683,11,,
10045,0,25,53,6683,12,,
10049,2,26,58,6683,11,,
10053,8,27,59,6683,10,,
10057,2,31,60,6673,11,,
10061,-7,19,51,6673,10,,
10065,-5,17,48,6664,10,,
10069,6,32,62,6664,10,,
10073,-8,19,47,6726,11,,
10077,-13,16,44,6726,12,,
10081,-6,15,47,6713,11,,
10085,-2,16,46,6713,11,,
10089,-7,19,49,6753,11,,
10093,-6,15,45,6753,11,,
10097,5,26,54,6741,12,,
10101,5,23,51,6741,13,,
10105,10,24,53,6721,13,,
10109,14,30,59,6721,13,,
10113,15,30,58,6718,14,,
10117,13,31,60,6718,14,,
10121,3,23,50,6689,15,,
10125,1,25,51,6689,16,,
10129,2,22,50,6705,16,,
10133,-2,28,52,6705,18,,
10137,-5,21,46,6726,19,,
10141,1,21,48,6726,19,,
10145,3,26,51,6739,20,,
10149,1,27,50,6739,22,,
10153,8,29,53,6740,23,,
10157,16,33,56,6740,24,,
10161,10,31,56,6721,24,,
10165,5,29,48,6721,27,,
10169,10,39,59,6678,29,,
10173,13,34,54,6678,31,,
10177,5,32,51,6673,33,,
