システムクロック時刻,ジャイロ角速度,左PWM,右PWM,電圧,しっぽ,超音波,カラー
6214,3,-16,20,8343,0,163,41
6219,1,-18,19,8343,0,163,41
6224,-1,-19,17,8343,0,163,40
6229,-2,-20,16,8353,0,163,40
6234,-3,-21,15,8343,0,163,40
6239,0,-16,20,8343,0,163,40
6244,2,-12,24,8353,0,164,40
6249,5,-16,21,8353,0,164,40
6254,5,-12,24,8353,0,164,40
6259,6,-16,20,8343,0,164,41
6264,5,-13,24,8343,0,164,41
6269,3,-15,22,8343,0,164,41
6274,3,-15,21,8333,0,164,41
6279,2,-16,20,8333,0,164,41
6284,1,-17,19,8343,0,164,41
6289,1,-18,19,8343,0,164,41
6294,1,-18,18,8343,0,164,41
6299,0,-19,18,8333,0,164,41
6304,1,-15,22,8333,0,164,41
6309,4,-14,22,8343,0,164,40
6314,7,-13,24,8333,0,164,41
6319,8,-9,28,8333,0,164,41
6324,6,-15,22,8334,0,164,41
6329,5,-12,25,8334,0,164,41
6334,4,-17,20,8334,0,164,41
6339,-1,-16,21,8334,0,164,41
6344,-3,-14,22,8334,0,164,41
6349,-5,-21,16,8334,0,164,41
6354,-4,-17,19,8324,0,164,41
6359,-5,-19,18,8324,0,164,41
6364,0,-17,19,8333,0,164,41
6369,0,-18,19,8334,0,164,41
6374,5,-15,21,8334,0,164,41
6379,7,-14,22,8334,0,164,41
6384,6,-11,25,8334,0,164,40
6389,5,-13,24,8333,0,164,41
6394,4,-14,23,8334,0,164,41
6399,3,-11,25,8334,0,164,41
6404,2,-9,27,8334,0,164,41
6409,2,-15,22,8334,0,164,41
6414,1,-12,24,8334,0,164,41
6419,0,-14,22,8333,0,42,41
6424,0,-15,21,8333,0,42,41
6429,-3,-18,19,8343,0,42,41
6434,-5,-16,20,8333,0,42,41
6439,-3,-13,24,8333,0,42,40
6444,-2,-18,19,8333,0,42,40
6449,0,-14,23,8334,0,42,40
6454,2,-10,26,8334,0,42,40
6459,2,-16,21,8333,0,42,40
6464,3,-12,25,8333,0,42,40
6469,0,-15,22,8334,0,42,41
6474,1,-15,21,8333,0,42,40
6479,0,-13,24,8333,0,42,41
6484,-1,-15,22,8343,0,41,41
6489,-5,-18,18,8343,0,41,40
6494,-7,-17,19,8333,0,41,40
6499,-6,-22,14,8343,0,41,40
6504,2,-14,22,8343,0,41,40
6509,4,-11,26,8333,0,41,40
6514,6,-11,26,8333,0,41,40
6519,6,-8,29,8333,0,41,40
6524,6,-9,27,8334,0,41,41
6529,7,-10,27,8334,0,40,41
6534,5,-8,28,8334,0,40,41
6539,2,-15,21,8333,0,40,41
6544,-2,-14,22,8333,0,40,41
6549,-2,-12,24,8343,0,40,41
6554,-5,-16,21,8343,0,40,40
6559,-9,-16,20,8343,0,40,40
6564,-8,-18,19,8343,0,40,40
6569,-7,-19,17,8343,0,40,40
6574,0,-13,24,8343,0,40,40
6579,5,-12,25,8343,0,40,40
6584,5,-13,24,8343,0,40,40
6589,4,-10,26,8333,0,40,41
6594,6,-7,30,8333,0,40,41
6599,4,-10,27,8333,0,39,41
6604,-1,-10,26,8324,0,39,41
6609,1,-15,22,8324,0,39,40
6614,2,-12,25,8334,0,39,40
6619,-2,-12,25,8333,0,39,40
6624,-3,-14,22,8333,0,39,40
6629,-4,-13,24,8333,0,39,40
6634,-7,-13,23,8343,0,39,40
6639,-5,-15,22,8343,0,39,40
6644,-2,-15,22,8343,0,39,40
6649,-4,-18,19,8343,0,39,40
6654,0,-9,27,8343,0,39,40
6659,0,-12,25,8343,0,39,40
6664,0,-10,27,8343,0,39,40
6669,0,-12,24,8343,0,39,40
6674,-1,-14,22,8343,0,39,39
6679,-2,-13,24,8343,0,39,40
6684,-3,-15,21,8343,0,39,40
6689,0,-12,25,8343,0,38,40
6694,-4,-12,24,8353,0,38,40
6699,-5,-15,21,8353,0,38,40
6704,-2,-12,25,8353,0,38,40
6709,-3,-15,22,8353,0,38,40
6714,-2,-12,24,8353,0,38,40
6719,6,-10,27,8353,0,38,40
6724,3,-9,27,8353,0,38,40
6729,0,-13,24,8353,0,38,40
6734,1,-10,26,8343,0,38,39
6739,-1,-14,23,8353,0,37,39
6744,-6,-14,22,8353,0,37,39
6749,-8,-14,22,8353,0,37,39
6754,-5,-12,25,8353,0,37,39
6759,-9,-17,20,8353,0,37,40
6764,-13,-18,18,8353,0,37,40
6769,-8,-22,15,8353,0,37,40
6774,-5,-18,19,8363,0,37,39
6779,-5,-20,17,8363,0,37,39
6784,3,-9,27,8363,0,37,39
6789,4,-11,26,8353,0,37,39
6794,3,-10,27,8353,0,37,39
6799,4,-15,22,8353,0,37,39
6804,10,-9,28,8353,0,37,39
6809,3,-14,23,8353,0,37,39
6814,1,-12,24,8353,0,36,40
6819,0,-11,25,8353,0,36,40
6824,-3,-11,25,8353,0,36,39
6829,-5,-15,21,8353,0,36,39
6834,-4,-17,20,8353,0,36,39
6839,-5,-16,21,8353,0,36,39
6844,-5,-18,19,8353,0,36,39
6849,-4,-15,21,8353,0,36,39
6854,-5,-14,22,8353,0,36,39
6859,-3,-16,21,8363,0,36,39
6864,-1,-13,23,8363,0,36,39
6869,2,-13,23,8363,0,36,40
6874,3,-14,22,8363,0,36,39
6879,1,-13,23,8363,0,36,40
