システムクロック時刻,ジャイロ角速度,左PWM,右PWM,電圧
4377,-27,-48,-10,6442
4381,-36,-63,-26,6289
4385,-30,-60,-23,6289
4389,-30,-69,-31,6075
4397,-12,-65,-27,5846
4401,-10,-66,-28,5846
4405,-10,-69,-32,5760
4409,2,-61,-23,5760
4417,3,-68,-30,5654
4421,0,-69,-32,5683
4425,0,-75,-37,5683
4429,0,-74,-37,5626
4437,12,-72,-35,5576
4441,12,-74,-37,5576
4453,20,-72,-35,5539
4457,20,-72,-35,5539
4465,22,-74,-36,5586
4469,17,-71,-34,5615
4473,14,-85,-48,5615
4477,3,-87,-50,5672
4485,-16,-100,-78,5605
4489,-23,-100,-90,5605
4493,-27,-100,-100,5421
4497,-34,-100,-100,5421
4505,-57,-100,-100,5345
4509,-47,-100,-100,5385
4513,-56,-100,-100,5385
4517,-67,-100,-100,5441
4525,-100,-100,-100,5488
4529,-94,-100,-100,5488
4533,-94,-100,-100,5547
4537,-111,-100,-100,5547
4545,-134,-100,-100,5584
4549,-122,-100,-100,5631
4553,-117,-100,-100,5631
4557,-132,-100,-100,5680
4565,-129,-100,-100,5717
4569,-134,-100,-100,5717
4573,-118,-100,-100,5767
4577,-115,-100,-100,5767
4585,-134,-100,-100,5804
4589,-120,-100,-100,5853
4593,-121,-100,-100,5853
4597,-129,-100,-100,5891
4605,-112,-100,-100,5910
4609,-134,-100,-100,5910
4613,-138,-100,-100,5940
4617,-117,-100,-100,5940
4625,-142,-100,-100,5977
4629,-137,-100,-100,6007
4633,-120,-100,-100,6007
4637,-120,-100,-100,6026
4645,-138,-100,-100,6063
4649,-145,-100,-100,6063
4653,-155,-100,-100,6083
4657,-162,-100,-100,6083
4665,-148,-100,-100,6140
4669,-165,-100,-100,6170
4673,-159,-100,-100,6170
4677,-155,-100,-100,6180
4685,-138,-100,-100,6227
4689,-122,-100,-100,6227
4693,-112,-100,-100,6237
4697,-120,-100,-100,6237
4705,-127,-100,-100,6257
4717,-121,-100,-100,6304
4721,-87,-100,-100,6304
4725,-117,-100,-100,6334
4733,-74,-100,-100,6353
4737,-176,-100,-100,6353
4741,-176,-100,-100,6363
4745,-47,-100,-100,6363
4753,-85,-100,-100,6381
4757,-115,-100,-100,6391
4761,-58,-100,-100,6391
4765,-44,-100,-100,6401
4773,-34,-100,-100,6421
4777,-20,-100,-100,6421
4781,-34,-100,-100,6441
4785,-48,-100,-100,6441
4793,-23,-100,-100,6451
4797,-44,-100,-100,6451
4801,-33,-100,-100,6451
4805,-26,-100,-100,6440
4813,-30,-100,-100,6460
4817,-40,-100,-100,6460
4821,-48,-100,-100,6478
4825,-48,-100,-100,6478
4833,-50,-100,-100,6488
4837,-47,-100,-100,6478
4841,-47,-100,-100,6478
4845,-58,-100,-100,6498
