システムクロック時刻,ジャイロ角速度,左PWM,右PWM,電圧
4073,2,32,30,5238
4077,6,32,29,5258
4081,2,31,29,5258
4085,1,33,30,5250
4089,0,27,24,5250
4093,0,24,21,5250
4097,3,36,33,5250
4101,3,31,28,5271
4105,-1,24,21,5271
4109,-2,32,29,5256
4113,0,29,26,5256
4117,-4,22,18,5249
4121,-1,21,18,5249
4125,-2,29,26,5291
4129,-5,22,19,5291
4133,0,23,20,5283
4137,4,24,21,5283
4141,-1,29,26,5295
4145,0,26,23,5295
4149,4,27,23,5283
4153,4,36,33,5283
4157,5,33,30,5256
4161,7,32,28,5256
4165,1,30,27,5238
4169,7,32,29,5238
4173,4,33,30,5229
4177,6,38,34,5229
4181,-1,28,24,5228
4185,-3,22,18,5228
4189,-5,29,26,5265
4193,0,29,25,5265
4197,-2,24,20,5265
4201,0,22,19,5265
4205,-1,31,27,5295
4209,7,34,31,5295
4213,5,30,26,5247
4217,8,37,33,5247
4221,0,32,29,5230
4225,4,32,28,5230
4229,6,31,27,5225
4233,5,34,30,5225
4237,-9,24,20,5229
4241,-1,27,23,5229
4245,-4,27,23,5276
4249,-7,20,16,5276
4253,-3,20,16,5282
4257,-2,30,27,5282
4261,3,31,27,5311
4265,9,33,29,5311
4269,6,35,31,5247
4273,9,35,31,5247
4277,15,45,41,5229
4281,14,48,44,5229
4285,7,39,35,5128
4289,3,32,28,5128
4293,0,39,35,5163
4297,1,35,31,5163
4301,0,30,26,5178
4305,-5,28,24,5178
4309,-9,26,22,5220
4313,-9,27,24,5220
4317,-4,27,23,5242
4321,2,35,31,5242
4325,4,39,35,5229
4329,9,40,36,5229
4333,7,42,38,5160
4337,7,45,41,5160
4341,4,38,34,5115
4345,2,39,35,5115
4349,0,39,35,5136
4353,-1,33,29,5136
4357,-6,31,27,5135
4361,-8,24,20,5135
4365,-8,32,28,5197
4369,-5,29,25,5197
4373,-5,37,33,5209
4377,-4,32,28,5209
4381,0,31,27,5180
4385,2,42,38,5180
4389,5,40,36,5165
4393,-1,37,33,5165
4397,-4,35,32,5115
4401,-2,38,34,5115
4405,-2,33,29,5144
4409,-5,32,28,5144
4413,-8,30,26,5162
4417,-7,32,28,5162
4421,-9,30,26,5180
4425,-11,22,18,5180
4429,-4,30,26,5210
4433,-7,34,31,5210
4437,2,37,33,5202
4441,3,33,30,5202
4445,-8,32,28,5169
4449,-9,31,27,5169
4453,-1,32,28,5183
4457,-5,30,26,5183
4461,-2,34,30,5197
4465,-2,35,31,5197
4469,-4,34,30,5176
4473,-2,30,26,5176
4477,-2,32,28,5179
4481,-1,34,31,5179
4485,-4,33,29,5179
4489,5,36,32,5179
4493,-5,35,31,5179
4497,-6,28,24,5179
4501,1,36,32,5176
4505,0,36,32,5176
4509,-1,36,33,5167
4513,4,48,44,5167
4517,0,39,35,5114
4521,-2,31,27,5114
4525,2,43,39,5129
4529,0,41,38,5129
4533,-8,28,24,5103
4537,-4,32,29,5103
4541,-9,28,24,5172
4545,-12,25,21,5172
4549,-5,32,28,5210
4553,-7,30,26,5210
4557,-10,21,17,5193
4561,-5,33,29,5193
4565,-2,30,26,5227
4569,1,40,36,5227
4573,0,34,30,5177
4577,2,37,33,5177
4581,2,44,41,5148
4585,1,37,33,5148
4589,-8,30,26,5087
4593,-10,28,24,5087
4597,-7,30,26,5183
4601,-7,30,26,5183
4605,-14,23,19,5190
4609,-14,16,12,5190
4613,-15,21,18,5245
4617,-10,19,15,5245
4621,-4,25,22,5269
4625,0,30,26,5269
4629,2,33,30,5246
4633,1,28,24,5246
4637,-1,34,30,5226
4641,2,31,27,5226
4645,4,35,31,5210
4649,3,35,32,5210
4653,-1,33,29,5196
4657,-3,25,22,5196
4661,-6,30,26,5213
4665,-7,23,19,5213
4669,-6,24,21,5237
4673,-6,25,21,5237
4677,-11,21,17,5256
4681,-6,19,16,5256
4685,-12,21,18,5284
4689,-4,22,18,5284
4693,-4,23,20,5294
4697,2,24,21,5294
4701,5,23,20,5294
4705,5,33,29,5294
4709,11,35,31,5267
4713,6,33,29,5267
4717,2,26,22,5226
4721,1,27,24,5226
4725,2,30,26,5262
4729,0,24,20,5262
4733,-6,21,17,5257
4737,-4,18,14,5257
4741,-7,17,14,5296
4745,2,27,24,5296
4749,4,31,28,5311
4753,6,29,25,5311
4757,10,30,26,5267
4761,14,38,34,5267
4765,11,39,35,5237
4769,13,38,34,5237
4773,12,41,37,5181
4777,11,37,33,5181
4781,2,26,22,5164
4785,-5,28,25,5164
4789,-3,25,21,5236
4793,-4,20,16,5236
4797,-5,21,18,5266
4801,-6,16,13,5266
4805,-4,27,23,5297
4809,0,26,22,5297
4813,2,24,20,5279
4817,7,32,28,5279
4821,12,34,30,5275
4825,12,38,34,5275
4829,16,46,42,5217
4833,8,36,32,5217
4837,2,34,30,5156
4841,4,32,28,5156
4845,3,27,23,5205
4849,0,28,24,5205
4853,-2,29,25,5236
4857,-3,24,20,5236
4861,-1,28,24,5246
4865,1,26,22,5246
4869,1,29,25,5249
4873,4,35,31,5249
4877,3,36,33,5227
4881,10,39,35,5227
4885,10,36,32,5199
4889,9,40,35,5199
4893,7,41,37,5171
4897,5,35,31,5171
4901,4,38,34,5162
4905,0,30,26,5162
4909,-1,38,34,5184
4913,-2,32,28,5184
4917,-3,33,29,5186
4921,-7,24,20,5186
4925,-3,36,32,5211
4929,-7,27,22,5211
4933,3,38,33,5222
4937,-4,27,22,5222
4941,-6,27,23,5203
4945,2,36,32,5203
4949,1,37,33,5232
4953,-4,28,23,5232
4957,-3,31,26,5201
4961,1,36,32,5201
4965,-7,24,19,5228
4969,6,44,40,5228
4973,4,38,33,5219
4977,3,39,34,5219
4981,13,51,46,5171
4985,12,52,48,5171
4989,2,39,35,5076
4993,5,50,46,5076
4997,6,45,41,5114
5001,4,45,41,5114
5005,-5,38,34,5080
5009,-5,38,34,5080
5013,-17,26,22,5115
5017,-20,22,18,5115
5021,-21,20,16,5201
5025,-26,8,3,5201
