システムクロック時刻,ジャイロ角速度,左PWM,右PWM,電圧
781,-9,16,37,5396
785,-11,22,43,5397
789,-9,18,39,5377
793,-7,27,48,5385
797,-8,20,41,5375
801,-6,23,44,5376
805,-6,24,45,5346
809,-6,25,46,5346
813,-9,17,38,5336
817,-11,16,37,5329
821,-13,15,36,5349
825,-11,17,38,5345
829,-11,17,38,5385
833,-14,15,36,5391
837,-11,17,38,5391
841,-8,20,41,5394
845,-11,18,39,5394
849,-11,12,33,5393
853,-10,13,34,5393
857,-5,19,40,5385
861,-5,20,41,5413
865,-6,19,40,5422
869,-9,17,38,5394
873,-7,19,40,5394
877,-5,21,42,5404
881,-9,18,39,5396
885,-9,18,39,5386
889,-4,22,43,5394
893,-1,25,46,5404
897,-1,20,41,5396
901,-1,21,42,5366
905,-2,16,36,5375
909,-4,22,42,5385
913,-3,17,38,5381
917,-3,19,39,5391
921,-6,18,37,5386
925,-7,18,36,5396
929,-3,22,40,5395
933,-2,18,35,5403
937,-2,21,36,5407
941,1,25,40,5407
945,2,29,41,5406
949,1,30,41,5388
953,3,34,42,5395
957,4,37,43,5365
961,4,39,43,5361
965,4,42,43,5321
969,4,44,42,5326
973,3,45,41,5298
977,-1,37,30,5292
981,-3,38,29,5262
985,-3,40,27,5269
989,-1,45,27,5327
993,-2,47,24,5320
997,-8,43,18,5302
