システムクロック時刻,ジャイロ角速度,左PWM,右PWM,電圧
433,-125,-100,-100,4568
437,-100,-100,-100,4568
441,-78,-100,-100,4568
445,-61,-100,-100,4568
449,-64,-100,-100,4601
453,-63,-100,-100,4601
457,-60,-100,-100,4595
461,-38,-100,-100,4595
465,-34,-100,-100,4608
469,-30,-100,-100,4608
473,-19,-100,-100,4643
477,-7,-100,-100,4643
481,6,-100,-100,4668
485,8,-100,-100,4668
489,14,-100,-100,4688
493,19,-100,-100,4688
497,16,-100,-100,4697
501,20,-100,-100,4697
505,29,-100,-100,4694
509,41,-100,-100,4694
513,53,-100,-100,4681
517,72,-100,-100,4681
521,87,-100,-100,4671
525,97,-100,-100,4671
529,105,-100,-100,4670
533,112,-100,-100,4670
537,115,-100,-100,4652
541,120,-100,-100,4652
545,132,-100,-100,4680
549,138,-100,-100,4680
553,145,-100,-100,4681
557,151,-100,-100,4681
561,155,-100,-100,4707
565,155,-100,-100,4707
569,159,-100,-97,4718
573,157,-100,-91,4718
577,158,-98,-89,4728
581,162,-78,-70,4728
585,168,-71,-62,4764
589,178,-44,-35,4764
593,183,-29,-21,4880
597,186,-24,-16,4880
601,194,0,8,5021
605,192,7,15,5021
609,191,14,23,5021
613,189,27,35,5021
617,186,38,46,4946
621,183,47,55,4946
625,186,66,74,4675
629,175,79,87,4675
633,176,97,100,4260
637,177,100,100,4260
641,173,100,100,3986
645,175,100,100,3986
649,164,100,100,3980
653,161,100,100,3980
657,163,100,100,4063
661,147,100,100,4063
665,120,100,100,4142
669,122,100,100,4142
673,148,100,100,4206
677,134,100,100,4206
681,110,100,100,4272
685,115,100,100,4272
689,107,100,100,4404
693,106,100,100,4404
697,71,100,100,4394
701,63,100,100,4394
705,83,100,100,4395
709,75,100,100,4395
713,71,100,100,4430
717,78,100,100,4430
721,83,100,100,4466
725,81,100,100,4466
729,74,100,100,4499
733,69,100,100,4499
737,65,100,100,4545
741,61,100,100,4545
745,67,100,100,4569
749,75,100,100,4569
753,81,100,100,4609
757,80,100,100,4609
761,73,100,100,4647
765,71,100,100,4647
769,74,100,100,4668
773,71,100,100,4668
777,67,100,100,4707
781,64,100,100,4707
785,64,100,100,4729
789,69,100,100,4729
793,73,100,100,4754
797,71,100,100,4754
801,74,100,100,4784
805,76,100,100,4784
809,81,100,100,4802
813,84,100,100,4802
817,86,100,100,4827
821,89,100,100,4827
825,93,100,100,4843
829,95,100,100,4843
833,93,100,100,4870
837,84,100,100,4870
841,76,100,100,4873
845,77,100,100,4873
849,78,100,100,4881
853,79,100,100,4881
857,79,100,100,4899
861,78,100,100,4899
865,76,100,100,4906
869,73,100,100,4906
873,72,100,100,4908
877,68,100,100,4908
881,65,100,100,4908
885,59,100,100,4908
889,64,100,100,4933
893,62,100,100,4933
897,52,100,100,4940
901,52,100,100,4940
905,59,100,100,4952
909,53,100,100,4952
913,54,100,100,4967
917,57,100,100,4967
921,55,100,100,4977
925,60,100,100,4977
929,59,100,100,5001
933,57,100,100,5001
937,60,100,100,5005
941,60,100,100,5005
945,60,100,100,5024
949,58,100,100,5024
953,55,100,100,5037
957,54,100,100,5037
961,54,100,100,5043
965,49,100,100,5043
969,47,100,100,5062
973,46,100,100,5062
977,45,100,100,5062
981,46,100,100,5062
985,44,100,100,5071
989,41,100,100,5071
993,40,100,100,5090
997,39,100,100,5090
