システムクロック時刻,ジャイロ角速度,左PWM,右PWM,電圧,kp100,-1
617,24,46,34,4979,,
621,19,40,28,4973,,
625,28,47,35,5001,,
629,52,78,66,5002,,
633,64,91,79,4992,,
637,67,100,90,5007,,
641,77,100,100,4725,,
645,98,100,100,4727,,
649,106,100,100,4501,,
653,94,100,100,4512,,
657,86,100,100,4454,,
661,86,100,100,4453,,
665,86,100,100,4463,,
669,70,100,100,4453,,
673,43,100,100,4473,,
677,40,100,100,4471,,
681,44,100,100,4471,,
685,14,100,100,4471,,
689,-1,100,93,4471,,
693,6,100,99,4470,,
697,-2,100,88,4498,,
701,-6,93,81,4505,,
705,24,100,100,4535,,
709,41,100,100,4527,,
713,33,100,100,4527,,
717,40,100,100,4525,,
721,53,100,100,4545,,
725,59,100,100,4545,,
729,60,100,100,4563,,
733,56,100,100,4562,,
737,63,100,100,4562,,
741,76,100,100,4570,,
745,68,100,100,4580,,
749,47,100,100,4578,,
753,41,100,100,4578,,
757,42,100,100,4579,,
761,37,100,100,4579,,
765,35,100,100,4572,,
769,45,100,100,4582,,
773,54,100,100,4585,,
777,50,100,100,4585,,
781,57,100,100,4583,,
785,64,100,100,4603,,
789,76,100,100,4604,,
793,85,100,100,4604,,
797,87,100,100,4599,,
801,91,100,100,4609,,
805,96,100,100,4609,,
809,98,100,100,4609,,
813,101,100,100,4611,,
817,95,100,100,4611,,
821,95,100,100,4610,,
825,98,100,100,4600,,
829,91,100,100,4601,,
833,93,100,100,4601,,
837,102,100,100,4604,,
841,103,100,100,4614,,
845,122,100,100,4613,,
849,128,100,100,4613,,
853,119,100,100,4612,,
857,143,100,100,4612,,
861,148,100,100,4609,,
865,142,100,100,4609,,
869,161,100,100,4611,,
873,166,100,100,4611,,
877,174,100,100,4609,,
881,192,100,100,4609,,
885,185,100,100,4611,,
889,169,100,100,4611,,
893,178,100,100,4615,,
897,187,100,100,4615,,
901,205,100,100,4608,,
905,243,100,100,4618,,
909,284,100,100,4627,,
913,316,100,100,4647,,
917,335,100,100,4644,,
921,313,100,100,4662,,
925,292,100,100,4661,,
929,292,100,100,4671,,
933,284,100,100,4668,,
937,283,100,100,4678,,
941,282,100,100,4675,,
945,252,100,100,4695,,
949,221,100,100,4702,,
953,148,100,100,4712,,
957,101,100,100,4711,,
961,105,100,100,4731,,
965,119,100,100,4727,,
969,115,100,100,4745,,
973,96,100,100,4741,,
977,73,100,100,4751,,
981,67,100,100,4752,,
985,53,100,100,4772,,
989,65,100,100,4776,,
993,63,100,100,4776,,
997,53,100,100,4772,,
システムクロック時刻,ジャイロ角速度,左PWM,右PWM,電圧
1,-4,-6,1,6669
5,-3,-6,1,6669
9,-4,-7,0,6480
13,-4,-8,0,6480
17,-4,-8,0,6424
21,-5,-10,-1,6424
25,-8,-13,-4,6367
29,-12,-16,-8,6367
33,-11,-17,-8,6291
37,-18,-23,-15,6291
41,-19,-25,-17,6216
45,-16,-24,-16,6216
49,-13,-23,-15,6206
53,-17,-28,-19,6206
57,-17,-28,-20,6205
61,-14,-27,-18,6205
65,-16,-30,-21,6166
69,-16,-31,-22,6166
73,-16,-32,-23,6129
77,-11,-29,-20,6129
81,-10,-34,-25,6080
85,-9,-33,-24,6080
89,-4,-28,-19,6005
93,1,-24,-15,6005
97,4,-26,-17,6005
101,11,-18,-9,6005
105,12,-15,-6,5984
109,16,-16,-7,5984
113,33,0,9,6022
117,39,9,18,6022
121,36,4,13,6143
125,33,6,15,6143
129,38,13,22,6153
133,36,9,18,6153
137,23,2,11,6172
141,13,-3,5,6172
145,13,-2,6,6202
149,-4,-14,-6,6202
153,-4,-15,-7,6247
157,-15,-24,-16,6247
161,-29,-37,-28,6257
165,-26,-36,-28,6257
169,-23,-41,-33,6211
173,-37,-53,-45,6211
177,-32,-51,-43,6143
181,-17,-41,-33,6143
185,-17,-41,-33,6097
189,-18,-42,-34,6097
193,-11,-37,-29,6087
197,-9,-36,-27,6087
201,-6,-39,-30,6087
205,5,-29,-20,6087
209,5,-33,-24,6058
213,6,-30,-21,6058
217,12,-23,-14,6049
221,13,-25,-16,6049
225,10,-25,-16,6076
229,11,-27,-19,6076
233,7,-28,-20,6000
237,17,-23,-15,6000
241,19,-24,-16,5831
245,19,-20,-12,5831
249,17,-24,-16,5633
253,25,-14,-5,5633
257,34,-8,0,5464
261,29,-7,0,5464
265,26,-11,-3,5472
269,31,-8,0,5472
273,29,-5,2,5423
277,22,-8,0,5423
281,20,-12,-4,5403
285,23,-6,1,5403
289,19,-7,0,5356
293,16,-13,-5,5356
297,15,-11,-4,5345
301,15,-9,-1,5345
305,15,-7,0,5315
309,16,-4,2,5315
313,15,-10,-3,5307
317,13,-9,-2,5307
321,11,-9,-3,5277
325,14,-5,0,5277
329,17,-1,4,5277
333,13,-3,2,5277
337,9,-6,-1,5286
341,12,-3,2,5286
345,13,-1,3,5276
349,8,-5,0,5276
353,7,-6,-1,5294
357,10,-3,0,5294
361,11,-2,1,5265
365,11,-1,2,5265
369,14,1,5,5264
373,16,3,7,5264
377,17,5,8,5311
381,20,9,12,5311
385,21,11,14,5303
389,15,6,8,5303
393,9,1,3,5283
397,5,-2,0,5283
401,-2,-9,-7,5320
405,-6,-14,-12,5320
409,-10,-19,-17,5338
413,-15,-25,-24,5338
417,-19,-31,-30,5282
421,-23,-36,-36,5282
425,-21,-37,-36,5234
429,-16,-40,-40,5234
433,-13,-38,-38,5168
437,-9,-34,-34,5168
441,-7,-33,-32,5131
445,-4,-30,-29,5131
449,-3,-35,-34,5121
453,2,-29,-27,5121
457,3,-33,-31,5073
461,3,-30,-29,5073
465,5,-27,-25,5045
469,7,-29,-28,5045
473,8,-32,-30,5015
477,8,-29,-27,5015
481,8,-33,-30,4986
485,9,-28,-26,4986
489,11,-30,-27,4959
493,13,-30,-28,4959
497,15,-30,-28,4939
501,19,-21,-19,4939
505,22,-20,-18,4930
509,23,-20,-17,4930
513,26,-11,-8,4958
517,29,-10,-7,4958
521,32,-7,-4,4984
525,33,-7,-4,4984
529,35,-5,-1,5003
533,38,-1,2,5003
537,36,3,7,5032
541,34,0,5,5032
545,35,1,6,5107
549,34,0,5,5107
553,32,4,10,5116
557,31,2,7,5116
561,28,5,10,5117
565,25,0,5,5117
569,21,0,6,5117
573,18,1,7,5117
577,15,0,6,5117
581,10,-8,-2,5117
585,6,-10,-4,5127
589,2,-12,-6,5127
593,-1,-14,-8,5136
597,-4,-17,-11,5136
601,-8,-27,-21,5126
605,-9,-28,-22,5126
609,-12,-31,-25,5107
613,-14,-33,-27,5107
617,-13,-33,-27,5078
621,-12,-32,-26,5078
625,-11,-32,-26,5051
629,-9,-31,-25,5051
633,-6,-34,-28,5031
637,-2,-29,-23,5031
641,1,-26,-20,5002
645,3,-29,-23,5002
649,3,-27,-21,5002
653,6,-22,-16,5002
657,12,-21,-15,4983
661,17,-13,-7,4983
665,20,-7,-1,4992
669,23,-7,-1,4992
673,27,0,6,5030
677,33,9,15,5030
681,32,12,18,5076
685,30,6,13,5076
689,32,12,19,5050
693,34,17,24,5050
697,27,7,14,5030
701,22,5,12,5030
705,22,8,14,5040
